root_id,root_name
1,Arts & Entertainment
2,Biography & Memoir
3,Business & Career
4,Children & Young Adult
5,Comics & Graphic Novels
6,Drama
7,Education
8,Family & Parenting
9,Fiction
10,Health & Medicine
11,History
12,Home & Garden
13,Humor & Satire
14,Language & Reference
15,Law & Legal
16,Literary Criticism
17,Nature & Environment
18,Other
19,Philosophy
20,Poetry
21,Religion & Spirituality
22,Science & Technology
23,Self-Help & Personal Development
24,Social Sciences
25,Sports & Recreation
26,Transportation
27,Travel
28,True Crime
